trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
988,False,"{'a': 0.005, 'e': 0.00711891466406466}",20,16,9.193811272503384,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.005, 'e': 0.0070834089290521185}",25,5,36.775105830061634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.005, 'e': 0.007048080279631732}",35,25,17.879849851137482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.005, 'e': 0.007012927832585425}",30,21,17.07452877366997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.005, 'e': 0.0069779507091001875}",30,21,17.202351021918687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
993,False,"{'a': 0.005, 'e': 0.0069431480347461145}",20,9,20.46862089697226,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.005, 'e': 0.006908518939454525}",20,12,16.559780215695493,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
995,False,"{'a': 0.005, 'e': 0.006874062557496248}",20,0,27.461765338677797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.005, 'e': 0.006839778027459933}",25,8,29.50329404387096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.005, 'e': 0.006805664492230543}",25,11,25.161924542748547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
998,False,"{'a': 0.005, 'e': 0.006771721098967921}",20,9,18.88302381229071,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.005, 'e': 0.006737946999085467}",30,12,28.560838257986784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.005, 'e': 0.006704341348228926}",20,14,12.192843643453042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
